server_replicas,num_concurrent_clients_scenario,num_messages_per_client_scenario,total_connections_attempted,successful_connections,total_messages_sent,total_messages_received,average_latency_ms,max_latency_ms,min_latency_ms,total_errors,total_latency_sum_ms,scenario_success_rate
2,10,1,10,8,8,8,0.4031336000025476,1.1921279997295642,0.0,2,4.031336000025476,1.0
2,10,10,10,10,100,100,0.47916472001816146,0.5113727999287221,0.41137739999612677,0,47.916472001816146,1.0
2,10,100,10,10,1000,1000,0.2670753350034829,0.2749211800210105,0.2618137499985096,0,267.0753350034829,1.0
2,10,1000,10,10,10000,10000,0.551660568901525,0.5572115470049539,0.5461494460055292,0,5516.60568901525,1.0
2,20,1,20,20,20,20,1.298127850009223,1.407436000135931,1.1759600001823856,0,25.96255700018446,1.0
2,20,10,20,20,200,200,0.48539922500140165,0.515509600063524,0.43239910000920645,0,97.07984500028033,1.0
2,20,100,20,20,2000,2000,0.9076403285050674,0.9328925599947979,0.8868544099823339,0,1815.2806570101347,1.0
2,20,1000,20,20,20000,20000,0.5620351423006695,0.5649992340008794,0.5584940690046096,0,11240.702846013392,1.0
2,30,1,30,30,30,30,2.151665299955615,2.5567859997863707,1.8747429999166343,0,64.54995899866844,1.0
2,30,10,30,30,300,300,1.0927553333218991,1.176011099914831,1.063215200065315,0,327.8265999965697,1.0
2,30,100,30,30,3000,3000,0.8647219719967628,0.8732364799925563,0.8593063400167011,0,2594.1659159902883,1.0
2,30,1000,30,30,30000,30000,0.7886104978997689,0.8062028069994085,0.7621248729956278,0,23658.314936993065,1.0
2,40,1,40,40,40,40,3.146559000015259,3.9688030001343577,2.8324719996817294,0,125.86236000061035,1.0
2,40,10,40,40,400,400,1.2657471574857482,1.3429944000108662,1.2230292999902304,0,506.29886299429927,1.0
2,40,100,40,40,4000,4000,1.5082832582476158,1.545511809990785,1.4878492000207189,0,6033.133032990463,1.0
2,40,1000,40,40,40000,40000,0.9161296590998518,0.9214565520096585,0.9110550400055217,0,36645.18636399407,1.0
2,50,1,50,50,50,50,2.1617680799499794,5.369771999994555,1.3146229998710623,0,108.08840399749897,1.0
2,50,10,50,50,500,500,1.238609659991198,1.3787091000267537,1.1996148999969591,0,619.304829995599,1.0
2,50,100,50,50,5000,5000,1.10352773659788,1.143180580011176,1.073309499993229,0,5517.6386829894,1.0
2,50,1000,50,50,50000,50000,1.1778967594798542,1.1831971279966638,1.1724584379976477,0,58894.837973992704,1.0
2,60,1,60,60,60,60,3.421197233349934,4.296813000109978,2.948925000055169,0,205.27183400099602,1.0
2,60,10,60,60,600,600,1.6445376149908952,1.7124686000897782,1.6166740000244317,0,986.7225689945371,1.0
