run_number,language,server_replicas,num_concurrent_clients_scenario,num_messages_per_client_scenario,total_connections_attempted,successful_connections,total_messages_sent,total_messages_received,average_latency_ms,max_latency_ms,min_latency_ms,total_errors,total_latency_sum_ms,scenario_success_rate
3,cpp,2,80,1000,80,80,80000,80000,2.244644485925,2.5291324130000064,1.8030214970000018,0,179571.558874,100.0
3,cpp,2,80,10000,80,80,800000,800000,2.3083564973050006,2.508232069100009,2.014847083700003,0,1846685.1978440003,100.0
3,cpp,2,90,1,90,90,90,90,1.1586949,6.258202,0.165344,0,104.282541,100.0
3,cpp,2,90,10,90,90,900,900,1.5862824788888887,3.2188992999999995,0.4975318000000001,0,1427.654231,100.0
3,cpp,2,90,100,90,90,9000,9000,2.4342567990000004,2.7700913099999998,1.84599647,0,21908.311191,100.0
3,cpp,2,90,500,90,90,45000,45000,2.570640719088889,2.9346011979999953,2.018918154000001,0,115678.83235899999,100.0
3,cpp,2,90,1000,90,90,90000,90000,2.6631061026888885,2.8772821229999974,2.303771868999998,0,239679.54924199998,100.0
3,cpp,2,90,10000,90,90,900000,900000,2.614061580747778,2.7553790527999973,2.4372412629999998,0,2352655.4226730005,100.0
3,cpp,2,100,1,100,100,100,100,2.1613472000000002,8.580148,0.19785,0,216.13472000000002,100.0
3,cpp,2,100,10,100,100,1000,1000,1.4931625009999998,3.3232982,0.34410550000000006,0,1493.162501,100.0
3,cpp,2,100,100,100,100,10000,10000,2.9426182784000003,3.3349651999999996,2.52100453,0,29426.182784,100.0
3,cpp,2,100,500,100,100,50000,50000,2.9207107326799995,3.0943172999999993,2.6755258399999993,0,146035.536634,100.0
3,cpp,2,100,1000,100,100,100000,100000,3.0854375928499995,3.2336814980000037,2.816658446999997,0,308543.759285,100.0
3,cpp,2,100,10000,100,100,1000000,1000000,3.010551723212001,3.0890951080999964,2.9143214222999947,0,3010551.7232120004,100.0
3,cpp,4,10,1,10,10,10,10,0.7376698,0.913099,0.400602,0,7.376698,100.0
3,cpp,4,10,10,10,10,100,100,0.42694779999999993,0.5348548,0.26882259999999997,0,42.69478,100.0
3,cpp,4,10,100,10,10,1000,1000,0.40260023600000006,0.44241520000000006,0.3551971,0,402.60023600000005,100.0
3,cpp,4,10,500,10,10,5000,5000,0.3705322645999998,0.4137476679999995,0.28162511000000007,0,1852.661322999999,100.0
3,cpp,4,10,1000,10,10,10000,10000,0.4315050942000001,0.5000420830000002,0.36206984700000033,0,4315.050942000001,100.0
3,cpp,4,10,10000,10,10,100000,100000,0.4381053411000003,0.4919935026999994,0.2917578659000001,0,43810.53411000003,100.0
3,cpp,4,20,1,20,20,20,20,2.1839114000000004,4.27059,0.171351,0,43.678228000000004,100.0
3,cpp,4,20,10,20,20,200,200,0.9155946399999999,1.3761695,0.48998240000000004,0,183.118928,100.0
3,cpp,4,20,100,20,20,2000,2000,0.705164326,0.7857807099999998,0.5296777599999999,0,1410.328652,100.0
3,cpp,4,20,500,20,20,10000,10000,0.8613369644000001,0.9290643560000003,0.67024081,0,8613.369644,100.0
3,cpp,4,20,1000,20,20,20000,20000,0.8245017948000001,0.8983508970000008,0.6560881120000002,0,16490.035896,100.0
3,cpp,4,20,10000,20,20,200000,200000,0.8681367260849988,0.9494292885999969,0.6358394105999984,0,173627.34521699976,100.0
3,cpp,4,30,1,30,30,30,30,0.8066110333333333,2.44955,0.137995,0,24.198331,100.0
3,cpp,4,30,10,30,30,300,300,0.7054701933333333,1.6843548,0.1634644,0,211.641058,100.0
3,cpp,4,30,100,30,30,3000,3000,0.9643362673333333,1.11990267,0.8032674299999997,0,2893.008802,100.0
3,cpp,4,30,500,30,30,15000,15000,1.2567948938666664,1.3960558279999988,1.089390642,0,18851.923408,100.0
3,cpp,4,30,1000,30,30,30000,30000,1.1933576291333334,1.3517400909999977,0.8831076720000002,0,35800.728874,100.0
3,cpp,4,30,10000,30,30,300000,300000,1.0824515316800005,1.1738178015999972,0.7653390596000021,0,324735.45950400014,100.0
3,cpp,4,40,1,40,40,40,40,1.1589134749999999,5.201657,0.147341,0,46.356539,100.0
3,cpp,4,40,10,40,40,400,400,0.924101645,1.955072,0.3339279,0,369.640658,100.0
3,cpp,4,40,100,40,40,4000,4000,1.20987835875,1.55058492,0.82767927,0,4839.513435,100.0
3,cpp,4,40,500,40,40,20000,20000,1.6098472798999999,1.7615914119999991,1.4595158200000011,0,32196.945598,100.0
3,cpp,4,40,1000,40,40,40000,40000,1.4857300592750005,1.636430705999999,0.6552902779999998,0,59429.202371000014,100.0
3,cpp,4,40,10000,40,40,400000,400000,1.3375765416675003,1.393894850599997,1.2736472604000009,0,535030.6166670001,100.0
3,cpp,4,50,1,50,50,50,50,1.7401018,7.130871,0.149144,0,87.00509,100.0
3,cpp,4,50,10,50,50,500,500,0.810927338,1.3959347999999998,0.4270967,0,405.463669,100.0
3,cpp,4,50,100,50,50,5000,5000,1.2719891714,1.5429935100000003,0.9506115000000002,0,6359.945857,100.0
3,cpp,4,50,500,50,50,25000,25000,1.84036586,2.012270535999998,1.2477751299999997,0,46009.146499999995,100.0
3,cpp,4,50,1000,50,50,50000,50000,1.479131048,1.7021360419999996,0.9840336850000022,0,73956.5524,100.0
3,cpp,4,50,10000,50,50,500000,500000,1.47420038439,1.6950676639999969,1.1349292901999941,0,737100.1921949999,100.0
3,cpp,4,60,1,60,60,60,60,1.2147825333333333,5.750791,0.23185,0,72.886952,100.0
3,cpp,4,60,10,60,60,600,600,1.1559479533333332,2.1758298,0.4041625,0,693.568772,100.0
3,cpp,4,60,100,60,60,6000,6000,1.754962964666667,2.2477534899999996,0.3373510900000001,0,10529.777788000001,100.0
3,cpp,4,60,500,60,60,30000,30000,2.0649724769666666,2.2834188900000005,1.5753810599999998,0,61949.174308999995,100.0
3,cpp,4,60,1000,60,60,60000,60000,1.6878246632166667,1.8517455690000024,1.2757178330000007,0,101269.479793,100.0
3,cpp,4,60,10000,60,60,600000,600000,1.8035078488166676,1.9033536777999969,1.6590623666999977,0,1082104.7092900006,100.0
3,cpp,4,70,1,70,70,70,70,1.7080899999999999,6.712344,0.188813,0,119.5663,100.0
3,cpp,4,70,10,70,70,700,700,1.8468240228571429,3.0959934,0.6075472999999999,0,1292.776816,100.0
3,cpp,4,70,100,70,70,7000,7000,2.9360794258571428,4.293321260000001,1.3063715899999997,0,20552.555981,100.0
3,cpp,4,70,500,70,70,35000,35000,2.3313387521142857,2.5755848500000003,1.60654241,0,81596.85632400001,100.0
3,cpp,4,70,1000,70,70,70000,70000,1.9324493927142856,2.216744796999993,1.2838318959999993,0,135271.45749,100.0
3,cpp,4,70,10000,70,70,700000,700000,1.9800254278399994,2.2594064522999977,1.6868700184999943,0,1386017.7994879996,100.0
3,cpp,4,80,1,80,80,80,80,1.9636863625,12.878037,0.171161,0,157.094909,100.0
3,cpp,4,80,10,80,80,800,800,1.6863813799999998,3.6849882999999997,0.35901379999999994,0,1349.105104,100.0
3,cpp,4,80,100,80,80,8000,8000,2.116908478125,2.615212810000001,1.42833259,0,16935.267825,100.0
3,cpp,4,80,500,80,80,40000,40000,2.62051650875,2.8331990239999967,1.878084924,0,104820.66035,100.0
3,cpp,4,80,1000,80,80,80000,80000,2.3811961504125003,2.5748512850000016,1.8963983080000033,0,190495.69203300006,100.0
3,cpp,4,80,10000,80,80,800000,800000,2.2937683087237506,2.5576328584000056,1.4835098696999998,0,1835014.6469790007,100.0
3,cpp,4,90,1,90,90,90,90,0.9591775222222222,3.462749,0.212461,0,86.325977,100.0
3,cpp,4,90,10,90,90,900,900,1.9637029799999999,4.101897599999999,0.2635316,0,1767.332682,100.0
3,cpp,4,90,100,90,90,9000,9000,2.3464838472222223,2.7817050800000005,1.3996127999999997,0,21118.354625,100.0
3,cpp,4,90,500,90,90,45000,45000,2.7712484200222223,3.208644655999999,2.090985596000001,0,124706.17890099999,100.0
3,cpp,4,90,1000,90,90,90000,90000,2.661794387833333,2.8620668109999947,2.047230466999999,0,239561.494905,100.0
3,cpp,4,90,10000,90,90,900000,900000,2.517348412113334,2.8139138032000037,2.117667824699995,0,2265613.5709020006,100.0
3,cpp,4,100,1,100,100,100,100,1.6420302599999999,9.588671,0.197898,0,164.203026,100.0
3,cpp,4,100,10,100,100,1000,1000,2.5919493829999998,5.4653583,0.7923340999999999,0,2591.949383,100.0
3,cpp,4,100,100,100,100,10000,10000,2.9152385857999996,3.512113289999998,2.140661699999999,0,29152.385857999998,100.0
3,cpp,4,100,500,100,100,50000,50000,3.0846549874799996,3.445365630000001,2.379801280000002,0,154232.74937399998,100.0
3,cpp,4,100,1000,100,100,100000,100000,2.69097294763,2.9838465619999943,1.8768383240000017,0,269097.29476300004,100.0
3,cpp,4,100,10000,100,100,1000000,1000000,2.9381192722509986,3.0752998456999907,2.5218315809999936,0,2938119.2722509983,100.0
3,cpp,6,10,1,10,10,10,10,0.9163104000000001,2.087047,0.310063,0,9.163104,100.0
3,cpp,6,10,10,10,10,100,100,0.45832116,0.561887,0.32916969999999995,0,45.832116,100.0
3,cpp,6,10,100,10,10,1000,1000,0.40813170899999995,0.4590189599999999,0.22243037999999998,0,408.131709,100.0
3,cpp,6,10,500,10,10,5000,5000,0.45318956639999997,0.5112320079999996,0.3352125520000002,0,2265.9478319999994,100.0
3,cpp,6,10,1000,10,10,10000,10000,0.47303893379999984,0.5069432369999995,0.3836676349999999,0,4730.389337999999,100.0
3,cpp,6,10,10000,10,10,100000,100000,0.46539081859999964,0.5059302750999981,0.3439195213999997,0,46539.08185999996,100.0
3,cpp,6,20,1,20,20,20,20,0.7531266000000001,2.126382,0.207706,0,15.062532000000001,100.0
