run_number,language,server_replicas,num_concurrent_clients_scenario,num_messages_per_client_scenario,total_connections_attempted,successful_connections,total_messages_sent,total_messages_received,average_latency_ms,max_latency_ms,min_latency_ms,total_errors,total_latency_sum_ms,scenario_success_rate,language
3,go,2,10,1,10,10,10,10,1.8175767,2.777364,0.427403,0,18.175767,100.0,go
3,go,2,10,10,10,10,100,100,0.32404237,0.383708,0.25353100000000006,0,32.404237,100.0,go
3,go,2,10,100,10,10,1000,1000,0.24497910799999997,0.26624630000000005,0.20857525000000002,0,244.979108,100.0,go
3,go,2,10,500,10,10,5000,5000,0.229765842,0.24445727000000023,0.20175848999999987,0,1148.8292099999999,100.0,go
3,go,2,10,1000,10,10,10000,10000,0.25502839070000016,0.26720635900000034,0.22583314000000027,0,2550.283907000002,100.0,go
3,go,2,10,10000,10,10,100000,100000,0.2374022332400001,0.24428859200000125,0.2208190231000003,0,23740.22332400001,100.0,go
3,go,2,20,1,20,20,20,20,0.7928336500000001,1.938045,0.180184,0,15.856673,100.0,go
3,go,2,20,10,20,20,200,200,0.43407291499999995,0.5712286,0.23869919999999997,0,86.814583,100.0,go
3,go,2,20,100,20,20,2000,2000,0.339477729,0.3798577800000001,0.3027307700000001,0,678.955458,100.0,go
3,go,2,20,500,20,20,10000,10000,0.35711468760000004,0.36691877400000034,0.34820469199999976,0,3571.1468760000002,100.0,go
3,go,2,20,1000,20,20,20000,20000,0.35377080125,0.3638144710000004,0.33806934599999994,0,7075.416025,100.0,go
3,go,2,20,10000,20,20,200000,200000,0.3495499824950001,0.3538460995000019,0.3455777062999999,0,69909.99649900002,100.0,go
3,go,2,30,1,30,30,30,30,0.8066895333333334,1.510136,0.233562,0,24.200686,100.0,go
3,go,2,30,10,30,30,300,300,0.5122903266666666,0.7981908,0.26656959999999996,0,153.687098,100.0,go
3,go,2,30,100,30,30,3000,3000,0.4799770636666667,0.5313035300000003,0.40808214000000015,0,1439.9311910000004,100.0,go
3,go,2,30,500,30,30,15000,15000,0.5869291822666666,0.6104925019999995,0.5365170379999996,0,8803.937734,100.0,go
3,go,2,30,1000,30,30,30000,30000,0.4699035736666666,0.48669816799999976,0.4397408040000002,0,14097.107209999998,100.0,go
3,go,2,30,10000,30,30,300000,300000,0.47906432940666727,0.48509362539999956,0.463973479700002,0,143719.2988220002,100.0,go
3,go,2,40,1,40,40,40,40,1.10114445,2.072024,0.140981,0,44.045778,100.0,go
3,go,2,40,10,40,40,400,400,0.8095525025000001,1.3203037,0.34949990000000003,0,323.82100099999997,100.0,go
3,go,2,40,100,40,40,4000,4000,0.623144379,0.6889553199999997,0.4717956299999998,0,2492.577516,100.0,go
3,go,2,40,500,40,40,20000,20000,0.53215092005,0.5560232820000006,0.4780565340000001,0,10643.018401,100.0,go
3,go,2,40,1000,40,40,40000,40000,0.5484893233249999,0.5647399310000004,0.5212671599999994,0,21939.572932999996,100.0,go
3,go,2,40,10000,40,40,400000,400000,0.5732441918949999,0.578733646700002,0.5640894343999997,0,229297.67675799993,100.0,go
3,go,2,50,1,50,50,50,50,1.98068922,4.325439,0.083638,0,99.034461,100.0,go
3,go,2,50,10,50,50,500,500,0.728186516,1.1409841,0.32761309999999993,0,364.093258,100.0,go
3,go,2,50,100,50,50,5000,5000,0.64004734,0.7546126300000001,0.5051091300000001,0,3200.2367,100.0,go
3,go,2,50,500,50,50,25000,25000,0.6638661900400001,0.6998265960000003,0.5856887999999999,0,16596.654751000002,100.0,go
3,go,2,50,1000,50,50,50000,50000,0.7015898424999999,0.723536432,0.6745799399999997,0,35079.492125,100.0,go
3,go,2,50,10000,50,50,500000,500000,0.6763945922599998,0.6846686144999988,0.6607688820000002,0,338197.29612999986,100.0,go
3,go,2,60,1,60,60,60,60,2.4938044,6.320759,0.104732,0,149.628264,100.0,go
3,go,2,60,10,60,60,600,600,0.7594813316666666,1.1942384000000001,0.2209772,0,455.688799,100.0,go
3,go,2,60,100,60,60,6000,6000,0.7751144693333334,0.8626817299999999,0.6544683300000002,0,4650.686816,100.0,go
3,go,2,60,500,60,60,30000,30000,0.7975403362333332,0.8388503960000007,0.7303317239999997,0,23926.210086999996,100.0,go
3,go,2,60,1000,60,60,60000,60000,0.7444296802666667,0.7738366450000015,0.6964691829999996,0,44665.780816,100.0,go
3,go,2,60,10000,60,60,600000,600000,0.7523631945499996,0.7647994565000015,0.7304817381000012,0,451417.9167299997,100.0,go
3,go,2,70,1,70,70,70,70,1.1625280142857142,3.763306,0.134771,0,81.376961,100.0,go
3,go,2,70,10,70,70,700,700,1.2283368785714286,1.8274757999999998,0.6838354999999999,0,859.835815,100.0,go
3,go,2,70,100,70,70,7000,7000,0.8365704092857142,0.9656998299999997,0.6547368099999997,0,5855.992865,100.0,go
3,go,2,70,500,70,70,35000,35000,0.8770377522571429,0.9202053139999998,0.7909249599999993,0,30696.321329,100.0,go
3,go,2,70,1000,70,70,70000,70000,0.8324671985571429,0.8637482549999994,0.7670089900000011,0,58272.70389900001,100.0,go
3,go,2,70,10000,70,70,700000,700000,0.8692592861799999,0.8806408113000036,0.8449846399999982,0,608481.5003259999,100.0,go
3,go,2,80,1,80,80,80,80,0.9581177375,6.816823,0.090399,0,76.649419,100.0,go
3,go,2,80,10,80,80,800,800,1.4295045575,2.0821759999999996,0.7380475000000001,0,1143.603646,100.0,go
3,go,2,80,100,80,80,8000,8000,0.978412842625,1.1108111699999998,0.8002709199999997,0,7827.3027409999995,100.0,go
