NAME                STATUS     COMPLETIONS   DURATION   AGE
client-job-4s-10c   Running    0/1           10s        10s
client-job-4s-1c    Complete   1/1           7s         11s
client-job-4s-2c    Complete   1/1           10s        11s
client-job-4s-3c    Running    0/1           11s        11s
client-job-4s-4c    Running    0/1           11s        11s
client-job-4s-5c    Running    0/1           11s        11s
client-job-4s-6c    Running    0/1           11s        11s
client-job-4s-7c    Running    0/1           10s        10s
client-job-4s-8c    Running    0/1           10s        10s
client-job-4s-9c    Running    0/1           10s        10s
