server_replicas,num_concurrent_clients_scenario,num_messages_per_client_scenario,total_connections_attempted,successful_connections,total_messages_sent,total_messages_received,average_latency_ms,max_latency_ms,min_latency_ms,total_errors,total_latency_sum_ms,scenario_success_rate,language
2,10,1,10,8,8,8,0.4031336000025476,1.1921279997295642,0.0,2,4.031336000025476,1.0,python
2,10,10,10,10,100,100,0.47916472001816146,0.5113727999287221,0.41137739999612677,0,47.916472001816146,1.0,python
2,10,100,10,10,1000,1000,0.2670753350034829,0.2749211800210105,0.2618137499985096,0,267.0753350034829,1.0,python
2,10,1000,10,10,10000,10000,0.551660568901525,0.5572115470049539,0.5461494460055292,0,5516.60568901525,1.0,python
2,20,1,20,20,20,20,1.298127850009223,1.407436000135931,1.1759600001823856,0,25.96255700018446,1.0,python
2,20,10,20,20,200,200,0.48539922500140165,0.515509600063524,0.43239910000920645,0,97.07984500028033,1.0,python
2,20,100,20,20,2000,2000,0.9076403285050674,0.9328925599947979,0.8868544099823339,0,1815.2806570101347,1.0,python
2,20,1000,20,20,20000,20000,0.5620351423006695,0.5649992340008794,0.5584940690046096,0,11240.702846013392,1.0,python
2,30,1,30,30,30,30,2.151665299955615,2.5567859997863707,1.8747429999166343,0,64.54995899866844,1.0,python
2,30,10,30,30,300,300,1.0927553333218991,1.176011099914831,1.063215200065315,0,327.8265999965697,1.0,python
2,30,100,30,30,3000,3000,0.8647219719967628,0.8732364799925563,0.8593063400167011,0,2594.1659159902883,1.0,python
2,30,1000,30,30,30000,30000,0.7886104978997689,0.8062028069994085,0.7621248729956278,0,23658.314936993065,1.0,python
2,40,1,40,40,40,40,3.146559000015259,3.9688030001343577,2.8324719996817294,0,125.86236000061035,1.0,python
2,40,10,40,40,400,400,1.2657471574857482,1.3429944000108662,1.2230292999902304,0,506.29886299429927,1.0,python
2,40,100,40,40,4000,4000,1.5082832582476158,1.545511809990785,1.4878492000207189,0,6033.133032990463,1.0,python
2,40,1000,40,40,40000,40000,0.9161296590998518,0.9214565520096585,0.9110550400055217,0,36645.18636399407,1.0,python
2,50,1,50,50,50,50,2.1617680799499794,5.369771999994555,1.3146229998710623,0,108.08840399749897,1.0,python
2,50,10,50,50,500,500,1.238609659991198,1.3787091000267537,1.1996148999969591,0,619.304829995599,1.0,python
2,50,100,50,50,5000,5000,1.10352773659788,1.143180580011176,1.073309499993229,0,5517.6386829894,1.0,python
2,50,1000,50,50,50000,50000,1.1778967594798542,1.1831971279966638,1.1724584379976477,0,58894.837973992704,1.0,python
2,60,1,60,60,60,60,3.421197233349934,4.296813000109978,2.948925000055169,0,205.27183400099602,1.0,python
2,60,10,60,60,600,600,1.6445376149908952,1.7124686000897782,1.6166740000244317,0,986.7225689945371,1.0,python
2,60,100,60,60,6000,6000,1.7829871551711374,1.8021440700204039,1.7636536299960426,0,10697.922931026824,1.0,python
2,60,1000,60,60,60000,60000,1.693055319634656,1.6944448600138458,1.691989230008403,0,101583.31917807937,1.0,python
2,70,1,70,70,70,70,2.2095015428411506,4.211457000110386,1.8230599998787511,0,154.66510799888056,1.0,python
2,70,10,70,70,700,700,2.9739716299984917,3.2831786000315333,2.850560100068833,0,2081.7801409989443,1.0,python
2,70,100,70,70,7000,7000,1.644451681857845,1.6631652299929556,1.635067420006635,0,11511.161773004915,1.0,python
2,70,1000,70,70,70000,70000,1.707098224286327,1.7176544610074416,1.6942211570008112,0,119496.87570004289,1.0,python
2,80,1,80,80,80,80,2.6676790624719615,5.315670000072714,2.248444000088057,0,213.41432499775692,1.0,python
2,80,10,80,80,800,800,2.0985130487565584,2.3121313999581616,2.03331719990274,0,1678.8104390052467,1.0,python
2,80,100,80,80,8000,8000,1.802986898876327,1.9109676900461636,1.6822682500287556,0,14423.895191010615,1.0,python
2,80,1000,80,80,80000,80000,2.012979741811847,2.018515921996368,2.01055358199892,0,161038.37934494778,1.0,python
2,90,1,90,90,90,90,4.175675200010826,7.3249080001005495,2.7864499998031533,0,375.81076800097435,1.0,python
2,90,10,90,90,900,900,2.9806252977914482,3.272270000024946,2.811475500038796,0,2682.5627680123034,1.0,python
2,90,100,90,90,9000,9000,2.168825712554179,2.22454721998929,2.1286479799618974,0,19519.431412987615,1.0,python
2,90,1000,90,90,90000,90000,2.1567034003119967,2.1641819809979097,2.15074062700387,0,194103.3060280797,1.0,python
2,100,1,100,100,100,100,3.846504320022177,5.744916999901761,3.265330000431277,0,384.6504320022177,1.0,python
2,100,10,100,100,1000,1000,3.9070246089972898,4.190323599914336,3.8022796000404924,0,3907.0246089972898,1.0,python
2,100,100,100,100,10000,10000,2.4177056137014916,2.485140820003835,2.373617190019104,0,24177.056137014915,1.0,python
2,100,1000,100,100,100000,100000,2.501283070970212,2.516599012993538,2.4837086070056102,0,250128.3070970212,1.0,python
2,1000,1,1000,1000,1000,1000,36.249687035989616,62.41008899996814,29.805891999785672,0,36249.68703598961,1.0,python
2,1000,10,1000,1000,10000,10000,29.726414410098094,40.946877000033055,28.778913499991177,0,297264.14410098095,1.0,python
2,1000,100,1000,1000,100000,100000,27.942867252600877,28.111710880020837,27.813469920019998,0,2794286.7252600878,1.0,python
2,1000,1000,1000,1000,1000000,1000000,27.677588708589248,27.827723828002036,27.668258832006813,0,27677588.708589245,1.0,python
4,10,1,10,10,10,10,0.4019528000299033,0.49184899989995756,0.28942400012965663,0,4.019528000299033,1.0,python
4,10,10,10,10,100,100,0.4133872999864252,0.4352543000550213,0.39442340007553867,0,41.33872999864252,1.0,python
4,10,100,10,10,1000,1000,0.31782319999229003,0.3234788299914726,0.30764565000481525,0,317.82319999229003,1.0,python
