NAME                      READY   STATUS              RESTARTS   AGE
client-job-6s-10c-gzwlz   0/1     Terminating         0          80s
client-job-6s-10c-vrtz2   0/1     Terminating         0          58s
client-job-6s-11c-8ss4t   0/1     Terminating         0          80s
client-job-6s-11c-c894x   0/1     Terminating         0          58s
client-job-6s-12c-ds4q6   0/1     Terminating         0          80s
client-job-6s-12c-p6h5r   0/1     Terminating         0          58s
client-job-6s-13c-jlwbd   0/1     Terminating         0          80s
client-job-6s-13c-kl8g6   0/1     Terminating         0          58s
client-job-6s-14c-76kst   0/1     Terminating         0          57s
client-job-6s-14c-pc9j2   0/1     Terminating         0          79s
client-job-6s-15c-84tlm   0/1     Terminating         0          79s
client-job-6s-15c-lvr4l   0/1     Terminating         0          57s
client-job-6s-16c-pxlgf   0/1     Terminating         0          79s
client-job-6s-16c-smxvk   0/1     Terminating         0          57s
client-job-6s-17c-6dmjf   0/1     Terminating         0          57s
client-job-6s-17c-flknt   0/1     Terminating         0          79s
client-job-6s-18c-dr48g   0/1     Terminating         0          57s
client-job-6s-18c-tvz5z   0/1     Terminating         0          79s
client-job-6s-19c-656mx   0/1     Terminating         0          79s
client-job-6s-19c-mt7hz   0/1     Terminating         0          57s
client-job-6s-1c-xwk5k    0/1     Terminating         0          59s
client-job-6s-20c-z86gk   0/1     Terminating         0          79s
client-job-6s-21c-x95v8   0/1     Terminating         0          79s
client-job-6s-22c-ldtcz   0/1     Terminating         0          79s
client-job-6s-23c-pd27b   0/1     Terminating         0          78s
client-job-6s-24c-whzns   0/1     Terminating         0          78s
client-job-6s-25c-xlq9k   0/1     Terminating         0          78s
client-job-6s-26c-pkmhk   0/1     Terminating         0          78s
client-job-6s-27c-g49xg   0/1     Terminating         0          78s
client-job-6s-28c-pjmj8   0/1     Terminating         0          78s
client-job-6s-29c-6tj4f   0/1     Terminating         0          78s
client-job-6s-2c-2lr2f    0/1     Terminating         0          59s
client-job-6s-30c-2pc9q   0/1     Terminating         0          78s
client-job-6s-31c-qtmlq   0/1     Terminating         0          77s
client-job-6s-32c-dz55f   0/1     Terminating         0          77s
client-job-6s-33c-ldgl2   0/1     Terminating         0          77s
client-job-6s-34c-8scmh   0/1     Terminating         0          77s
client-job-6s-35c-gpcwc   0/1     Terminating         0          77s
client-job-6s-36c-hphht   0/1     Terminating         0          77s
client-job-6s-37c-dphs5   0/1     Terminating         0          77s
client-job-6s-38c-kghxx   0/1     Terminating         0          77s
client-job-6s-39c-lkxln   0/1     Terminating         0          76s
client-job-6s-3c-6rjm9    0/1     Terminating         0          59s
client-job-6s-40c-dpr55   0/1     Terminating         0          76s
client-job-6s-41c-fkww4   0/1     Terminating         0          76s
client-job-6s-42c-7kjm6   0/1     Terminating         0          76s
client-job-6s-43c-nqjq2   0/1     Terminating         0          76s
client-job-6s-44c-k7fvd   0/1     Terminating         0          54s
client-job-6s-44c-vf56f   0/1     Terminating         0          76s
client-job-6s-45c-nmh9s   0/1     Terminating         0          76s
client-job-6s-46c-5g5kl   0/1     Terminating         0          76s
client-job-6s-47c-rrrlg   0/1     Terminating         0          75s
client-job-6s-48c-c72b7   0/1     Terminating         0          75s
client-job-6s-49c-54mnw   0/1     Terminating         0          75s
client-job-6s-4c-7jsb9    0/1     Terminating         0          59s
client-job-6s-50c-bb8l9   0/1     Terminating         0          75s
client-job-6s-53c-ggxzm   0/1     Terminating         0          53s
client-job-6s-5c-2x24s    0/1     Terminating         0          59s
client-job-6s-64c-8mmjt   0/1     Terminating         0          52s
client-job-6s-6c-9qhl6    0/1     Terminating         0          58s
client-job-6s-6c-whvkw    0/1     Terminating         0          80s
client-job-6s-7c-6gqfw    0/1     Terminating         0          58s
client-job-6s-7c-mw2d5    0/1     Terminating         0          80s
client-job-6s-83c-k2k7c   0/1     Terminating         0          50s
client-job-6s-8c-dnwdf    0/1     Terminating         0          58s
client-job-6s-8c-kvs6p    0/1     Terminating         0          80s
client-job-6s-91c-czsj9   0/1     Terminating         0          49s
client-job-6s-92c-nbhxm   0/1     Terminating         0          49s
client-job-6s-93c-8fvlx   0/1     Terminating         0          48s
client-job-6s-94c-npnnd   0/1     Terminating         0          48s
client-job-6s-95c-fr5mk   0/1     Terminating         0          48s
client-job-6s-96c-k6rp9   0/1     Terminating         0          48s
client-job-6s-9c-bt8fm    0/1     Terminating         0          58s
client-job-6s-9c-t8h5n    0/1     Terminating         0          80s
client-job-8s-10c-dsgcb   0/1     Pending             0          15s
client-job-8s-10c-gk5fk   0/1     Terminating         0          32s
client-job-8s-11c-wckcg   0/1     Pending             0          15s
client-job-8s-12c-4wjbm   0/1     Pending             0          15s
client-job-8s-13c-9chdg   0/1     Pending             0          15s
client-job-8s-14c-6xhbw   0/1     Pending             0          15s
client-job-8s-15c-tncxg   0/1     Pending             0          14s
client-job-8s-16c-wts5w   0/1     Pending             0          14s
client-job-8s-17c-gb7p5   0/1     Pending             0          14s
client-job-8s-18c-5zdl2   0/1     ContainerCreating   0          14s
client-job-8s-19c-jddtl   0/1     Pending             0          14s
client-job-8s-1c-7z68n    0/1     Terminating         0          33s
client-job-8s-1c-v9gbv    0/1     ContainerCreating   0          16s
client-job-8s-20c-nllx8   0/1     Pending             0          14s
client-job-8s-21c-2tlw5   0/1     Pending             0          14s
client-job-8s-22c-cn2nx   0/1     Pending             0          14s
client-job-8s-23c-hc4p5   0/1     Pending             0          14s
client-job-8s-24c-52p7d   0/1     Pending             0          13s
