NAME                      READY   STATUS              RESTARTS   AGE
client-job-4s-10c-lmh8n   0/1     ContainerCreating   0          10s
client-job-4s-1c-kwq45    0/1     Completed           0          11s
client-job-4s-2c-bj5lm    0/1     Completed           0          11s
client-job-4s-3c-rkhqn    0/1     Completed           0          11s
client-job-4s-4c-vlqgp    0/1     ContainerCreating   0          11s
client-job-4s-5c-4qzck    0/1     ContainerCreating   0          11s
client-job-4s-6c-bw92r    0/1     ContainerCreating   0          11s
client-job-4s-7c-gbcbt    0/1     ContainerCreating   0          10s
client-job-4s-8c-hdl2r    0/1     ContainerCreating   0          10s
client-job-4s-9c-55wg7    0/1     ContainerCreating   0          10s
