NAME                       READY   STATUS              RESTARTS   AGE
client-job-10s-10c-sbmxl   0/1     ContainerCreating   0          10s
client-job-10s-1c-8hngf    0/1     ContainerCreating   0          11s
client-job-10s-2c-z65t8    0/1     ContainerCreating   0          11s
client-job-10s-3c-snkkd    0/1     ContainerCreating   0          11s
client-job-10s-4c-n6nhd    0/1     ContainerCreating   0          11s
client-job-10s-5c-2zht4    0/1     ContainerCreating   0          11s
client-job-10s-6c-sq54x    0/1     ContainerCreating   0          11s
client-job-10s-7c-6d8qn    0/1     ContainerCreating   0          10s
client-job-10s-8c-xslvn    0/1     ContainerCreating   0          10s
client-job-10s-9c-m7v2j    0/1     ContainerCreating   0          10s
client-job-8s-100c-gqd5w   0/1     Terminating         0          2m1s
client-job-8s-12c-g2csf    0/1     Terminating         0          2m11s
client-job-8s-18c-5zdl2    0/1     Terminating         0          2m32s
client-job-8s-1c-k7fvm     0/1     Terminating         0          2m12s
client-job-8s-24c-qsmxn    0/1     Terminating         0          2m10s
client-job-8s-25c-mkjqh    0/1     Terminating         0          2m10s
client-job-8s-26c-hwjhl    0/1     Terminating         0          2m10s
client-job-8s-27c-cg9zg    0/1     Terminating         0          2m10s
client-job-8s-28c-gh6lz    0/1     Terminating         0          2m10s
client-job-8s-28c-mg8t7    0/1     Terminating         0          2m31s
client-job-8s-29c-ll62l    0/1     Terminating         0          2m10s
client-job-8s-29c-mfbvm    0/1     Terminating         0          2m31s
client-job-8s-2c-c6qhz     0/1     Terminating         0          2m12s
client-job-8s-30c-9fc8w    0/1     Terminating         0          2m9s
client-job-8s-30c-mrhfw    0/1     Terminating         0          2m31s
client-job-8s-31c-hczrg    0/1     Terminating         0          2m9s
client-job-8s-3c-fz4ft     0/1     Terminating         0          2m12s
client-job-8s-3c-jw59w     0/1     Completed           0          2m34s
client-job-8s-43c-djmhb    0/1     Terminating         0          2m8s
client-job-8s-44c-6qd6c    0/1     Terminating         0          2m8s
client-job-8s-45c-6nvjw    0/1     Terminating         0          2m8s
client-job-8s-46c-7rlcf    0/1     Terminating         0          2m8s
client-job-8s-47c-fp7k2    0/1     Terminating         0          2m7s
client-job-8s-47c-wvtwc    0/1     Terminating         0          2m29s
client-job-8s-48c-ck2tn    0/1     Terminating         0          2m29s
client-job-8s-48c-nxtrm    0/1     Terminating         0          2m7s
client-job-8s-49c-mhrld    0/1     Terminating         0          2m7s
client-job-8s-49c-rnbdx    0/1     Terminating         0          2m29s
client-job-8s-4c-8m2sv     0/1     Terminating         0          2m34s
client-job-8s-4c-tvjvd     0/1     Terminating         0          2m12s
client-job-8s-50c-cb8xt    0/1     Terminating         0          2m7s
client-job-8s-50c-mpf4g    0/1     Terminating         0          2m28s
