server_replicas,num_concurrent_clients_scenario,num_messages_per_client_scenario,total_connections_attempted,successful_connections,total_messages_sent,total_messages_received,average_latency_ms,max_latency_ms,min_latency_ms,total_errors,total_latency_sum_ms,scenario_success_rate
2,10,1,10,10,10,10,0.4837426000449341,0.6071590032661334,0.41328500083182007,0,4.837426000449341,1.0
2,10,10,10,10,100,100,1.3857137999730185,1.5315889002522454,1.2526664999313653,0,138.57137999730185,1.0
2,50,1,50,50,50,50,1.8089101200166624,3.4671210014494136,1.3572080060839653,0,90.44550600083312,1.0
2,50,10,50,50,500,500,1.859390366007574,2.1110687994223554,1.7505049996543676,0,929.695183003787,1.0
2,100,1,100,100,100,100,5.017272410259466,5.76045700290706,4.122411999560427,0,501.72724102594657,1.0
2,100,10,100,100,1000,1000,2.8869993920088746,3.149935200053733,2.836166599445278,0,2886.9993920088746,1.0
6,10,1,10,10,10,10,1.072476298577385,1.9620780003606342,0.758435002353508,0,10.72476298577385,1.0
6,10,10,10,10,100,100,0.33641001995420083,0.36443920034798793,0.3215772987459786,0,33.64100199542008,1.0
6,50,1,50,50,50,50,2.441120939620305,3.8843029979034327,1.7820470020524226,0,122.05604698101524,1.0
6,50,10,50,50,500,500,2.3800811479159165,3.769933600415243,2.0199791993945837,0,1190.0405739579583,1.0
6,100,1,100,100,100,100,8.074589889729396,9.53853899409296,6.375618002493866,0,807.4589889729396,1.0
6,100,10,100,100,1000,1000,4.026242170912155,4.2854501014517155,3.789348601276288,0,4026.2421709121554,1.0
10,10,1,10,10,10,10,0.6026404989825096,0.7391949984594248,0.4953359966748394,0,6.026404989825096,1.0
10,10,10,10,10,100,100,0.7181251102156239,0.7598435011459514,0.6816139022703283,0,71.81251102156239,1.0
10,50,1,50,50,50,50,3.093773639848223,6.059628998627886,2.3235029948409647,0,154.68868199241115,1.0
10,50,10,50,50,500,500,2.023251181904925,2.219418199820211,1.9635930002550595,0,1011.6255909524625,1.0
10,100,1,100,100,100,100,9.013019320118474,11.77727600588696,7.55290400411468,0,901.3019320118474,1.0
10,100,10,100,100,1000,1000,5.208277502009878,5.656002299656393,5.075012100132881,0,5208.277502009878,1.0
