NAME                       READY   STATUS              RESTARTS   AGE
client-job-4s-48c-qtfhw    1/1     Terminating         0          3m57s
client-job-4s-49c-4b849    0/1     Terminating         0          3m57s
client-job-4s-50c-w88kj    0/1     Terminating         0          3m57s
client-job-4s-51c-kh6bp    0/1     Terminating         0          3m57s
client-job-4s-52c-9g6d5    0/1     Terminating         0          3m57s
client-job-4s-53c-69zfl    0/1     Terminating         0          3m57s
client-job-4s-54c-j7kc7    0/1     Terminating         0          3m57s
client-job-4s-55c-4q6xm    0/1     Terminating         0          3m56s
client-job-4s-56c-5sksl    0/1     Terminating         0          3m56s
client-job-6s-100c-ccwf5   0/1     Pending             0          9s
client-job-6s-10c-gzwlz    0/1     Terminating         0          41s
client-job-6s-10c-hl7rw    0/1     Terminating         0          57s
client-job-6s-10c-vrtz2    0/1     ContainerCreating   0          19s
client-job-6s-11c-8ss4t    0/1     Terminating         0          41s
client-job-6s-11c-c894x    0/1     ContainerCreating   0          19s
client-job-6s-12c-ds4q6    0/1     Terminating         0          41s
client-job-6s-12c-p6h5r    0/1     ContainerCreating   0          19s
client-job-6s-13c-jlwbd    0/1     Terminating         0          41s
client-job-6s-13c-kl8g6    0/1     ContainerCreating   0          19s
client-job-6s-14c-76kst    0/1     ContainerCreating   0          18s
client-job-6s-14c-pc9j2    0/1     Terminating         0          40s
client-job-6s-15c-84tlm    0/1     Terminating         0          40s
client-job-6s-15c-lvr4l    0/1     ContainerCreating   0          18s
client-job-6s-16c-pxlgf    0/1     Terminating         0          40s
client-job-6s-16c-smxvk    0/1     ContainerCreating   0          18s
client-job-6s-17c-6dmjf    0/1     ContainerCreating   0          18s
client-job-6s-17c-flknt    0/1     Terminating         0          40s
client-job-6s-18c-dr48g    0/1     ContainerCreating   0          18s
client-job-6s-18c-tvz5z    0/1     Terminating         0          40s
client-job-6s-19c-656mx    0/1     Terminating         0          40s
client-job-6s-19c-mt7hz    0/1     ContainerCreating   0          18s
client-job-6s-1c-7k82k     0/1     Terminating         0          58s
client-job-6s-1c-h5p7c     0/1     Terminating         0          42s
client-job-6s-1c-xwk5k     0/1     ContainerCreating   0          20s
client-job-6s-20c-swv4l    0/1     Pending             0          18s
client-job-6s-20c-z86gk    0/1     Terminating         0          40s
client-job-6s-21c-t8w84    0/1     Pending             0          18s
client-job-6s-21c-x95v8    0/1     Terminating         0          40s
client-job-6s-22c-ldtcz    0/1     Terminating         0          40s
client-job-6s-22c-zhtbv    0/1     Pending             0          18s
client-job-6s-23c-pd27b    0/1     Terminating         0          39s
client-job-6s-23c-vkh7x    0/1     Pending             0          17s
client-job-6s-24c-2s8lz    0/1     Pending             0          17s
client-job-6s-24c-whzns    0/1     Terminating         0          39s
client-job-6s-25c-s54rp    0/1     Pending             0          17s
client-job-6s-25c-xlq9k    0/1     Terminating         0          39s
client-job-6s-26c-pkmhk    0/1     Terminating         0          39s
client-job-6s-26c-pwk79    0/1     Pending             0          17s
client-job-6s-27c-g49xg    0/1     Terminating         0          39s
client-job-6s-27c-whv7q    0/1     Pending             0          17s
client-job-6s-28c-74bt2    0/1     Pending             0          17s
client-job-6s-28c-pjmj8    0/1     Terminating         0          39s
client-job-6s-29c-6tj4f    0/1     Terminating         0          39s
client-job-6s-29c-dgb24    0/1     Pending             0          17s
client-job-6s-2c-2lr2f     0/1     ContainerCreating   0          20s
client-job-6s-2c-dfh9g     0/1     Terminating         0          42s
client-job-6s-2c-jkqc4     0/1     Terminating         0          58s
client-job-6s-30c-2pc9q    0/1     Terminating         0          39s
client-job-6s-30c-fx4nx    0/1     Pending             0          17s
client-job-6s-31c-qtmlq    0/1     Terminating         0          38s
client-job-6s-31c-sm9mb    0/1     Pending             0          17s
client-job-6s-32c-dz55f    0/1     Terminating         0          38s
client-job-6s-32c-stz8f    0/1     Pending             0          17s
client-job-6s-33c-55gw9    0/1     Pending             0          17s
client-job-6s-33c-ldgl2    0/1     Terminating         0          38s
client-job-6s-34c-8scmh    0/1     Terminating         0          38s
client-job-6s-34c-rsc9j    0/1     Pending             0          16s
client-job-6s-35c-gpcwc    0/1     Terminating         0          38s
client-job-6s-35c-x4h59    0/1     Pending             0          16s
client-job-6s-36c-hphht    0/1     Terminating         0          38s
client-job-6s-36c-jpk68    0/1     Pending             0          16s
client-job-6s-37c-2k8mm    0/1     Pending             0          16s
client-job-6s-37c-dphs5    0/1     Terminating         0          38s
client-job-6s-38c-kghxx    0/1     Terminating         0          38s
client-job-6s-38c-r7cnh    0/1     Pending             0          16s
client-job-6s-39c-7cqp8    0/1     Pending             0          16s
client-job-6s-39c-lkxln    0/1     Terminating         0          37s
client-job-6s-3c-6rjm9     0/1     ContainerCreating   0          20s
client-job-6s-3c-c8ljj     0/1     Terminating         0          58s
client-job-6s-3c-g5btb     0/1     Terminating         0          42s
client-job-6s-40c-dpr55    0/1     Terminating         0          37s
client-job-6s-40c-lfp9j    0/1     Pending             0          16s
client-job-6s-41c-fkww4    0/1     Terminating         0          37s
client-job-6s-41c-p54xg    0/1     Pending             0          16s
client-job-6s-42c-7kjm6    0/1     Terminating         0          37s
client-job-6s-42c-jjrv9    0/1     Pending             0          16s
client-job-6s-43c-nqjq2    0/1     Terminating         0          37s
client-job-6s-43c-rkz7f    0/1     Pending             0          15s
client-job-6s-44c-k7fvd    0/1     ContainerCreating   0          15s
client-job-6s-44c-vf56f    0/1     Terminating         0          37s
client-job-6s-45c-nmh9s    0/1     Terminating         0          37s
client-job-6s-45c-tjvlq    0/1     Pending             0          15s
client-job-6s-46c-5g5kl    0/1     Terminating         0          37s
client-job-6s-46c-ffnsf    0/1     Pending             0          15s
client-job-6s-47c-2hvcv    0/1     Pending             0          15s
client-job-6s-47c-rrrlg    0/1     Terminating         0          36s
client-job-6s-48c-9djd5    0/1     Pending             0          15s
client-job-6s-48c-c72b7    0/1     Terminating         0          36s
client-job-6s-49c-4jhfb    0/1     Pending             0          15s
client-job-6s-49c-54mnw    0/1     Terminating         0          36s
client-job-6s-4c-7jsb9     0/1     ContainerCreating   0          20s
client-job-6s-4c-7pcs4     0/1     Terminating         0          42s
client-job-6s-4c-bjpbj     0/1     Terminating         0          58s
client-job-6s-50c-bb8l9    0/1     Terminating         0          36s
client-job-6s-50c-bl7gk    0/1     Pending             0          15s
client-job-6s-51c-pjnw6    0/1     Pending             0          14s
client-job-6s-52c-lkhnc    0/1     Pending             0          14s
client-job-6s-53c-ggxzm    0/1     ContainerCreating   0          14s
client-job-6s-54c-mjqtk    0/1     Pending             0          14s
client-job-6s-55c-vnqbl    0/1     Pending             0          14s
client-job-6s-56c-rt247    0/1     Pending             0          14s
client-job-6s-57c-tbshm    0/1     Pending             0          14s
client-job-6s-58c-5bczl    0/1     Pending             0          14s
client-job-6s-59c-lr9cz    0/1     Pending             0          14s
client-job-6s-5c-2x24s     0/1     ContainerCreating   0          20s
client-job-6s-5c-rb7fw     0/1     Terminating         0          58s
client-job-6s-5c-w7pdm     0/1     Terminating         0          41s
client-job-6s-60c-v2vwt    0/1     Pending             0          13s
client-job-6s-61c-jtwfr    0/1     Pending             0          13s
client-job-6s-62c-nj6dl    0/1     Pending             0          13s
client-job-6s-63c-49d8n    0/1     Pending             0          13s
client-job-6s-64c-8mmjt    0/1     ContainerCreating   0          13s
client-job-6s-65c-jqpkc    0/1     Pending             0          13s
client-job-6s-66c-vdlf6    0/1     Pending             0          13s
client-job-6s-67c-svzm7    0/1     Pending             0          13s
client-job-6s-68c-bs94m    0/1     Pending             0          12s
client-job-6s-69c-s25fx    0/1     Pending             0          12s
client-job-6s-6c-9qhl6     0/1     ContainerCreating   0          19s
client-job-6s-6c-vrb27     0/1     Terminating         0          58s
client-job-6s-6c-whvkw     0/1     Terminating         0          41s
client-job-6s-70c-9pzxx    0/1     Pending             0          12s
client-job-6s-71c-5kwtz    0/1     Pending             0          12s
client-job-6s-72c-vdw4t    0/1     Pending             0          12s
client-job-6s-73c-prvmr    0/1     Pending             0          12s
client-job-6s-74c-m4q6h    0/1     Pending             0          12s
client-job-6s-75c-cvhdc    0/1     Pending             0          12s
client-job-6s-76c-jlx6q    0/1     Pending             0          11s
client-job-6s-77c-np7jz    0/1     Pending             0          11s
client-job-6s-78c-sjp44    0/1     Pending             0          11s
client-job-6s-79c-pxkqr    0/1     Pending             0          11s
client-job-6s-7c-6gqfw     0/1     ContainerCreating   0          19s
client-job-6s-7c-mw2d5     0/1     Terminating         0          41s
client-job-6s-7c-t5jk9     0/1     Terminating         0          58s
client-job-6s-80c-2lk2p    0/1     Pending             0          11s
client-job-6s-81c-jjgf4    0/1     Pending             0          11s
client-job-6s-82c-6bzhf    0/1     Pending             0          11s
client-job-6s-83c-k2k7c    0/1     ContainerCreating   0          11s
client-job-6s-84c-t4jbq    0/1     Pending             0          11s
client-job-6s-85c-z552j    0/1     Pending             0          10s
client-job-6s-86c-kf6cg    0/1     Pending             0          10s
client-job-6s-87c-6fvtd    0/1     Pending             0          10s
client-job-6s-88c-6r7ss    0/1     Pending             0          10s
client-job-6s-89c-ztsmh    0/1     Pending             0          10s
client-job-6s-8c-dnwdf     0/1     ContainerCreating   0          19s
client-job-6s-8c-kvs6p     0/1     Terminating         0          41s
client-job-6s-8c-p9h59     0/1     Terminating         0          58s
client-job-6s-90c-99cnr    0/1     Pending             0          10s
client-job-6s-91c-czsj9    0/1     ContainerCreating   0          10s
client-job-6s-92c-nbhxm    0/1     ContainerCreating   0          10s
client-job-6s-93c-8fvlx    0/1     ContainerCreating   0          9s
client-job-6s-94c-npnnd    0/1     ContainerCreating   0          9s
client-job-6s-95c-fr5mk    0/1     ContainerCreating   0          9s
client-job-6s-96c-k6rp9    0/1     Pending             0          9s
client-job-6s-97c-r82wb    0/1     Pending             0          9s
client-job-6s-98c-4x54z    0/1     Pending             0          9s
client-job-6s-99c-7zcbm    0/1     Pending             0          9s
client-job-6s-9c-bt8fm     0/1     ContainerCreating   0          19s
client-job-6s-9c-s6vht     0/1     Terminating         0          57s
client-job-6s-9c-t8h5n     0/1     Terminating         0          41s
