run_number,language,server_replicas,num_concurrent_clients_scenario,num_messages_per_client_scenario,total_connections_attempted,successful_connections,total_messages_sent,total_messages_received,average_latency_ms,max_latency_ms,min_latency_ms,total_errors,total_latency_sum_ms,scenario_success_rate,language
7,go,2,80,1000,80,80,80000,80000,1.0004571155000002,1.032265943,0.9301572359999991,0,80036.56924,100.0,go
7,go,2,80,10000,80,80,800000,800000,0.9543378858362501,0.9668653657999932,0.936356797000008,0,763470.3086690002,100.0,go
7,go,2,90,1,90,90,90,90,2.1050082333333333,7.380992,0.107518,0,189.450741,100.0,go
7,go,2,90,10,90,90,900,900,1.5099555077777775,2.2899517,0.6337843999999999,0,1358.959957,100.0,go
7,go,2,90,100,90,90,9000,9000,1.0400531906666666,1.1945866899999995,0.8086225500000004,0,9360.478716,100.0,go
7,go,2,90,500,90,90,45000,45000,1.0897188322444447,1.1409543880000002,1.0276996860000003,0,49037.34745100001,100.0,go
7,go,2,90,1000,90,90,90000,90000,1.0729353346222223,1.1084034939999987,0.9894019470000011,0,96564.180116,100.0,go
7,go,2,90,10000,90,90,900000,900000,1.0469891546544445,1.0708749320000024,1.0107980314999998,0,942290.2391890001,100.0,go
7,go,2,100,1,100,100,100,100,2.6977945,8.24414,0.10169,0,269.77945,100.0,go
7,go,2,100,10,100,100,1000,1000,1.204477826,2.3925653000000002,0.2493109,0,1204.477826,100.0,go
7,go,2,100,100,100,100,10000,10000,1.0656393149999999,1.2812391200000002,0.7268494999999997,0,10656.39315,100.0,go
7,go,2,100,500,100,100,50000,50000,1.2273078614400001,1.2837767800000002,1.1225877059999991,0,61365.393072000006,100.0,go
7,go,2,100,1000,100,100,100000,100000,1.1584376424999998,1.1917208819999994,1.0701453029999988,0,115843.76424999998,100.0,go
7,go,2,100,10000,100,100,1000000,1000000,1.156815420156,1.1700342852000032,1.131683797800005,0,1156815.420156,100.0,go
7,go,4,10,1,10,10,10,10,0.40076349999999994,0.739567,0.099716,0,4.007635,100.0,go
7,go,4,10,10,10,10,100,100,0.26836479,0.2932882,0.19799660000000002,0,26.836479,100.0,go
7,go,4,10,100,10,10,1000,1000,0.25067809799999996,0.2623839,0.2371353899999999,0,250.678098,100.0,go
7,go,4,10,500,10,10,5000,5000,0.2364477924,0.24954832800000035,0.20622772799999983,0,1182.2389620000001,100.0,go
7,go,4,10,1000,10,10,10000,10000,0.23632448950000012,0.24810279600000032,0.2134611069999998,0,2363.2448950000007,100.0,go
7,go,4,10,10000,10,10,100000,100000,0.23575880029999996,0.24087120080000035,0.23056918139999993,0,23575.880029999997,100.0,go
7,go,4,20,1,20,20,20,20,0.9716221,1.615164,0.24803,0,19.432442,100.0,go
7,go,4,20,10,20,20,200,200,0.34564642,0.5190163000000001,0.2506189,0,69.129284,100.0,go
7,go,4,20,100,20,20,2000,2000,0.38214333100000003,0.4353123800000001,0.32169570999999997,0,764.286662,100.0,go
7,go,4,20,500,20,20,10000,10000,0.37063945930000003,0.38453781599999987,0.3326797459999998,0,3706.394593,100.0,go
7,go,4,20,1000,20,20,20000,20000,0.3588493468999999,0.37420271600000016,0.31893453399999966,0,7176.986937999998,100.0,go
7,go,4,20,10000,20,20,200000,200000,0.38081278828499965,0.3926809969000002,0.3677176237999983,0,76162.55765699992,100.0,go
7,go,4,30,1,30,30,30,30,0.9149763666666667,2.060423,0.177647,0,27.449291000000002,100.0,go
7,go,4,30,10,30,30,300,300,4.879878583333333,6.659712699999998,3.0121405,0,1463.963575,100.0,go
7,go,4,30,100,30,30,3000,3000,0.521436582,0.5630049100000001,0.43347629,0,1564.309746,100.0,go
7,go,4,30,500,30,30,15000,15000,0.4910337004,0.5123654300000002,0.41266020400000036,0,7365.505506,100.0,go
7,go,4,30,1000,30,30,30000,30000,0.5229513864666667,0.5431349769999998,0.48221074699999955,0,15688.541594000002,100.0,go
7,go,4,30,10000,30,30,300000,300000,0.5266967754933334,0.5313210718000022,0.5209208128000007,0,158009.03264800002,100.0,go
7,go,4,40,1,40,40,40,40,0.9478823000000001,2.290681,0.187413,0,37.915292,100.0,go
7,go,4,40,10,40,40,400,400,0.8710318975,1.1202315,0.5382006,0,348.412759,100.0,go
7,go,4,40,100,40,40,4000,4000,0.6867435295,0.7794812100000006,0.5375773,0,2746.974118,100.0,go
7,go,4,40,500,40,40,20000,20000,0.66514141495,0.6864403299999997,0.5994770400000003,0,13302.828299,100.0,go
7,go,4,40,1000,40,40,40000,40000,0.621114576175,0.6414430479999996,0.5700485139999993,0,24844.583047,100.0,go
7,go,4,40,10000,40,40,400000,400000,0.6008226649825,0.6154673410999993,0.513708976500001,0,240329.06599300003,100.0,go
7,go,4,50,1,50,50,50,50,1.0928264,2.904574,0.097678,0,54.64132,100.0,go
7,go,4,50,10,50,50,500,500,0.835945734,1.1876692000000002,0.43733839999999996,0,417.972867,100.0,go
7,go,4,50,100,50,50,5000,5000,0.7452469986,0.8387709099999998,0.57204573,0,3726.2349929999996,100.0,go
7,go,4,50,500,50,50,25000,25000,0.7259318775199999,0.7609260119999991,0.6704544279999999,0,18148.296938,100.0,go
7,go,4,50,1000,50,50,50000,50000,0.7599353507599999,0.7785279129999996,0.7245079330000003,0,37996.76753799999,100.0,go
7,go,4,50,10000,50,50,500000,500000,0.7553001001380001,0.7653121454999988,0.7398603293999995,0,377650.05006900005,100.0,go
7,go,4,60,1,60,60,60,60,1.9463872833333333,3.96179,0.172856,0,116.783237,100.0,go
7,go,4,60,10,60,60,600,600,1.0540462066666667,1.7367344000000002,0.3515940000000001,0,632.427724,100.0,go
7,go,4,60,100,60,60,6000,6000,0.8341762848333333,0.9359976799999994,0.6391874400000003,0,5005.057709,100.0,go
7,go,4,60,500,60,60,30000,30000,0.857550955,0.8976174780000002,0.7341731919999998,0,25726.52865,100.0,go
7,go,4,60,1000,60,60,60000,60000,0.8528431723666667,0.879206049,0.822899389,0,51170.590342,100.0,go
7,go,4,60,10000,60,60,600000,600000,0.8777107637716669,0.8938984225999995,0.8500207109000001,0,526626.4582630001,100.0,go
7,go,4,70,1,70,70,70,70,0.8467245857142858,2.286719,0.086389,0,59.270721,100.0,go
7,go,4,70,10,70,70,700,700,0.9763825571428572,1.6330063,0.24129989999999993,0,683.46779,100.0,go
7,go,4,70,100,70,70,7000,7000,0.9306668920000001,1.09797574,0.7082063500000001,0,6514.668244,100.0,go
7,go,4,70,500,70,70,35000,35000,0.9233102937142856,0.9712501079999997,0.8260768940000004,0,32315.860279999997,100.0,go
7,go,4,70,1000,70,70,70000,70000,0.9110266943142857,0.9660084630000004,0.78476714,0,63771.868601999995,100.0,go
7,go,4,70,10000,70,70,700000,700000,0.9559937514171424,0.9750507337999992,0.9157826667000017,0,669195.6259919996,100.0,go
7,go,4,80,1,80,80,80,80,1.6597142999999999,5.347645,0.126505,0,132.777144,100.0,go
7,go,4,80,10,80,80,800,800,1.883553295,2.6812149,0.7733357,0,1506.842636,100.0,go
7,go,4,80,100,80,80,8000,8000,1.0574714035,1.2459419399999998,0.8001333199999999,0,8459.771228,100.0,go
7,go,4,80,500,80,80,40000,40000,1.0934788415249999,1.1769028500000018,0.9672305699999996,0,43739.153661,100.0,go
7,go,4,80,1000,80,80,80000,80000,1.0608830630375001,1.1040396330000024,0.9650116069999991,0,84870.64504300001,100.0,go
7,go,4,80,10000,80,80,800000,800000,1.0646371917862498,1.0840473641000008,1.0154630000000024,0,851709.7534289999,100.0,go
7,go,4,90,1,90,90,90,90,1.1728195222222222,4.030303,0.094972,0,105.553757,100.0,go
7,go,4,90,10,90,90,900,900,1.2264663255555555,2.2151631,0.3933129000000001,0,1103.819693,100.0,go
7,go,4,90,100,90,90,9000,9000,1.1365928554444444,1.3158008300000004,0.8720444299999996,0,10229.335699,100.0,go
7,go,4,90,500,90,90,45000,45000,1.1662436237777778,1.270566352000001,1.000302834,0,52480.963070000005,100.0,go
7,go,4,90,1000,90,90,90000,90000,1.1291085691222225,1.2063602350000004,0.9843802169999993,0,101619.77122100002,100.0,go
7,go,4,90,10000,90,90,900000,900000,1.1547833576400006,1.1768956850000059,1.1128644797999951,0,1039305.0218760006,100.0,go
7,go,4,100,1,100,100,100,100,2.09299172,5.229827,0.116933,0,209.299172,100.0,go
7,go,4,100,10,100,100,1000,1000,1.2837077669999999,2.5625182000000004,0.5850084999999999,0,1283.707767,100.0,go
7,go,4,100,100,100,100,10000,10000,1.3269517133,1.5513475199999993,1.00247,0,13269.517133000001,100.0,go
7,go,4,100,500,100,100,50000,50000,1.2436429849,1.3607042839999983,1.00620371,0,62182.149245,100.0,go
7,go,4,100,1000,100,100,100000,100000,1.23800009594,1.3088816649999993,1.103772447999999,0,123800.009594,100.0,go
7,go,4,100,10000,100,100,1000000,1000000,1.253764022394,1.2689727047999917,1.221403500499998,0,1253764.022394,100.0,go
7,go,6,10,1,10,10,10,10,0.6498548000000001,1.284777,0.171671,0,6.498548,100.0,go
